generation,fitness_mean,fitness_max,apples_mean,apples_max
7,-0.8543444444444445,0.0860000000000001,0.00286666666666667,0.0860000000000001
8,-0.7415444444444445,0.0810000000000001,0.005200000000000015,0.0810000000000001
9,-0.7175999999999999,0.08066666666666676,0.010422222222222237,0.08066666666666676
10,-0.853422222222222,0.07566666666666698,0.0025222222222222325,0.07566666666666698
11,-0.744822222222222,0.07800000000000017,0.005155555555555565,0.07800000000000017
12,-0.8636222222222223,0.06700000000000009,0.004066666666666672,0.06700000000000009
13,-0.6636666666666667,0.7920000000000005,0.046388888888888924,0.7920000000000005
14,-0.7884222222222222,0.3683333333333347,0.01688888888888894,0.3683333333333347
15,-0.7556888888888889,0.436666666666667,0.02318888888888891,0.436666666666667
16,-0.7058222222222219,0.40133333333333454,0.029622222222222515,0.40133333333333454
17,-0.7836999999999997,0.7750000000000015,0.04053333333333339,0.7750000000000015
18,-0.6959444444444445,0.41266666666666685,0.03353333333333337,0.41266666666666685
19,-0.7525444444444446,0.7563333333333342,0.026622222222222255,0.7563333333333342
20,-0.48248888888888863,1.4926666666666704,0.08870000000000017,1.4926666666666704
21,-0.6544555555555557,0.392,0.03161111111111115,0.392
22,-0.7270222222222221,0.7653333333333348,0.03890000000000009,0.7653333333333348
23,-0.4523333333333332,1.7806666666666633,0.0814,1.7806666666666633
24,-0.5345888888888888,1.1123333333333358,0.10681111111111125,1.1123333333333358
25,-0.43217777777777744,1.1016666666666706,0.11808888888888919,1.1016666666666706
26,-0.6074999999999999,1.1296666666666688,0.06891111111111119,1.1296666666666688
27,-0.6038999999999994,1.797333333333337,0.10205555555555594,1.797333333333337
28,-0.41736666666666633,1.4626666666666706,0.1136111111111114,1.4626666666666706
29,-0.19152222222222182,4.260666666666669,0.31475555555555595,4.260666666666669
0,-1.025058,0.7443333333333344,0.0014100000000000015,0.7443333333333344
0,-1.0179677777777776,-0.27999999999999986,0.0,0.0
1,-0.9861055555555555,0.4510000000000002,0.0018511111111111122,0.4510000000000002
2,-0.9746044444444442,0.4553333333333335,0.0023122222222222238,0.4553333333333335
